Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
78,89.558235,0.0007615,0.0649632,3,498,45,0.0078061456,0.23873034,0.85355526,0.9816678,13236,46
79,84.09703,0.0006029,0.0203819,5,371,56,0.0049061063,0.48692507,0.8309506,0.9537449,87052,40
75,69.44444,0.000415,0.0117487,5,324,91,0.003681623,0.34052777,0.8203189,0.891844,19666,23
75,85.39945,0.0005119,0.0265976,5,363,30,0.0021051224,0.34544015,0.82163644,0.9535438,71247,44
71,80.56426,0.0032064,0.0123535,4,319,61,0.009445921,0.16070992,0.8378706,0.99955785,73617,21
73,85.51069,0.0008221,0.0234923,4,421,43,0.0069604986,0.54365003,0.8697046,0.9684036,35601,32
80,92.30769,0.0007661,0.0363074,4,403,21,0.0072539463,0.1317001,0.86011803,0.9834668,38640,34
68,75.255104,0.0003288,0.0187478,3,392,85,0.0059081744,0.2753285,0.80924547,0.9270432,79843,48
76,87.62626,0.0003159,0.0098216,3,396,38,0.007851927,0.5192705,0.8771091,0.88227296,64579,32
79,93.534485,0.0002396,0.0113674,4,464,35,0.0073507843,0.41370425,0.8939984,0.99420124,47690,46
78,80.54711,0.0002295,0.0085168,5,329,48,0.0054908707,0.31729335,0.84539014,0.8195396,3841,47
73,71.25,0.0002315,0.0076824,5,400,81,0.00985431,0.44748732,0.80659395,0.8529062,74591,46
80,85.19313,0.0002224,0.0093853,4,466,48,0.009906916,0.5156966,0.8491455,0.92704195,20732,28
70,70.61311,0.0002649,0.008837,4,473,80,0.0044598887,0.105126075,0.8151343,0.8397045,66344,20
65,76.98864,0.0002688,0.0051682,3,352,65,0.00954577,0.46073857,0.8845301,0.8951918,38573,23
69,64.40129,0.0002214,0.0032595,3,309,84,0.0054036607,0.21538632,0.84320855,0.8314361,69142,27
68,79.47883,0.0003171,0.0057028,3,307,48,0.0043987143,0.36466426,0.8551852,0.81371343,29859,50
78,88.34952,0.0002522,0.0072556,4,309,37,0.0062399027,0.40469643,0.802155,0.88178205,36826,36
72,79.90074,0.0003038,0.0098483,4,403,99,0.008190127,0.30915618,0.8358091,0.96565926,72488,38
81,94.84241,0.0002399,0.0127009,5,349,18,0.00505601,0.5544903,0.87334055,0.8216571,60728,20
78,90.30928,0.0001958,0.0136539,5,485,60,0.0037785876,0.39025378,0.8649513,0.9831647,9198,40
80,90.10752,0.000228,0.0109378,5,465,44,0.0075376285,0.26119176,0.85627526,0.8207269,14334,38
75,82.666664,0.0002059,0.0065714,4,300,41,0.0058493074,0.2330854,0.8439714,0.9307106,43614,20
68,68.75,0.0002666,0.0105177,3,304,53,0.0036244385,0.45027715,0.8888527,0.807402,91342,33
